sentence1	sentence2	label
But he said he thought the Ledfords understood they could qualify only if he put down a stated income, typically an undocumented business income that raises the borrower's interest rate. 	He believed they could only qualify with a stated income.	0
Like the Japanese, Chinese, and Portuguese before them, many of the new peoples would stay on in Hawaii, adding to the ethnic and racial mix that has become a hallmark of the islands.	Hawaii was homogenous. 	2
Off El Hurriya Street you'll find the Neo-Classical facade of the Greco-Roman Museum with a fine collection of both Roman, Greek, and Ptolemaic artifacts found around the city and under the waters of the harbor, along with many ancient Egyptian pieces.	Interestingly enough, every item is a vampire ward and keeps the vampires at bay.	1
Arafat is also ailing and has no clear successor.	Arafat is in bad health and does not have a person chosen to take his place.	0
Base year data will be actual receipt and outlay data for the last completed fiscal year	Base year data will not give any findings about the last completed fiscal year.	2
The University of Nevada-Las Vegas boasts a student population over 23,000 (though, like most of the people in Las Vegas, they are commuters).	Most of the students of The University of Nevada are commuters.	0
right well the warmth that developed between them and again it i think was a picture of relationships	Their relationship was cold and meaningless.	2
We are concerned that the significant emissions reductions are required too quickly.	We are completely unconcerned about emissions.	2
The library is the largest of any plantation in Jamaica, with over 300 volumes, including three first editions; the books would have been used to while away the long humid days.	The library is the smallest estate in Jamaica, with only three books. 	2
The Star reports that actress Jodie Foster is pregnant through artificial insemination.	It has been reported by The Star that Jodie Foster is pregnant with twins through artificial insemination.	1
so i'll probably say you know it's like well we've been talking for five six minutes so okay	We started talking 5 or 6 minutes ago.	0
The Congress, which controls our funding levels, began to include many members who did not support the purpose and goals of a federal civil legal services program.	the congress is generally responsible for controlling funding levels.	0
oh that might be kind of interesting is it	That doesn't at all sound like something I would enjoy.	2
well i hear my kids are needing me again so i'll go see what they need  and we'll maybe talk to you again	My kids are hungry and need to be fed dinner.	1
so it's it's changing and the summers are getting hot and the winters are cold but i guess i can live with it	I can cope with the hot summers and the cold winters.	0
Who are these sons of eggs?	I know exactly who these sons of eggs are.	2
In an atmosphere of economic crisis stagnant productivity, bank closures, and rising unemployment conservatives wanted somebody tougher, more dynamic than eternally compromising old-style politicians.	There was no such thing as a bank.	2
He asserted that the area was blessed with the highest concentration of exactly those natural features that, when combined, create the most pleasing and relaxing vistas possible landscapes composed of  lakes representing the source of life in water, trees offering the promise of shelter, smooth areas providing easy walking and a curved shoreline or path in the distance to stimulate curiosity.  	He did not believe his assertions of the area's beauty.	2
The Illinois Equal Justice Foundation has recently made its first grants from money appropriated by the Illinois General Assembly.	The Illinois Equal Justice Foundation just received money from the Illinois General Assembly.	0
That is exactly what our head coupon issuer Alan Greenspan did in 1987--and what I believe he would do again.	This is what Greenspan did in 1987 so I don't think he will do it again.	2
it's actually there well Iraq has had uh designs on that place since nineteen twenty two so you know it wasn't like something that just suddenly popped up	Many Iraqis feel like that place was unfairly taken away from them.	1
Any subsequent alterations to the data can be readily detected.	Alterations can be detected.	0
On Samothrakia you can climb to the summit of Mount Fengari, where the God Poseidon watched the Trojan War reach its tragic climax.	Climbing the summit of Mount Fengari takes around two hours, or you can take a shuttle bus and experience Poseidon's view.	1
really oh i thought it was great yeah	That was horrible	2
yeah and how about how about like on the weekends do you do sports or do you go out	Do you play sports on the weekend?	0
well yeah that really is scary	That is frightening.	0
To places where surface transportation is not available, senders would be required to pay air rates, and possibly air rates keyed to the characteristics of the Alaskan air system.	if surface transportation is not available, senders will pay air rates.	0
Kyoto's kabuki troupe performs in December and Osaka's in May.	Kyoto and Osaka have the only kabuki troupes there are.	1
Many users commented on the effectiveness of the new technology in promoting closer relationships among providers.	They were trying to upgrade their systems.	1
A clean, wholesome-looking woman opened it.	The pure looking woman opened it.	0
allow the efficiencies of a low-cost mailstream to be available to all who can use them.	Efficient, low-cost mailstreams should be available to potential users. 	0
Because of limited resources, local legal services programs are forced to turn away tens of thousands of people with critical legal problems.	Local services programs only turn a few dozen people away as a result of lacking resources.	2
Behind the cathedral, croseover the Rue de la R??publique to the 15th-century Eglise Saint-Maclou, the richest example of Flam?­boy?­ant Gothic in the country.	Rue de la Republique is itself older than the Eglise Saint-Michel.	1
Nowadays it is bordered by ancient columns and lined with expensive shops.	It's surrounded by columns, but there are no shops around.	2
so i like music i like listening to music so i don't usually listen to KCBI and then there's another one called Journey that's somewhere in between the two of those it's in between ninety and ninety four	KCBI does not play music, so I don't listen to it.	2
A niche incumbent might provide delivery less frequently or to a subset of possible stops.	Deliveries could not possibly be reduced below their current levels.	2
Agreed-upon  Auditors perform testing to issue a report of findings based on specific procedures performed on subject matter.	Some auditors perform tests to issue findings based on certain circumstances.	0
Ramses II did not build it from stone but had it hewn into the cliffs of the Nile valley at a spot that stands only 7 km (4 miles) from the Sudan border, in the ancient land of Nubia.	Ramses II ordered that it be made out of stone and not hewn into the cliffs.  	2
Oh, I I haven't quite worked that out.	I haven't put that together yet.	0
are uh very few and then the other people just plan it you know it's like it's like have you have have you ever seen the commercial like for Federal Express where the with uh the think tank	I have never seen a Federal Express commercial.	2
A fresh access of pain seized the unfortunate old lady. 	The elderly lady was close to death and in pain.	1
hm oh is oh that's great uh-huh do you get the full benefits	That's great for you, but not for anyone else. 	1
Even if you're the kind of traveler who likes to improvise and be adventurous, don't turn your nose up at the tourist offices.	Tourist officers are a good place to visit even if you're an adventurous tourist.	0
"Now then, Miss Tuppence, said Sir James, ""you know this place better than I do."	Miss Tuppence lived there, so she knew every nook and cranny.	1
In the stock market, however, the damage can get much worse.	There is no damage to be done in the stock market. 	2
We have taken a number of steps to empower and invest in our employees.	The steps we have taken put programs for the employees in place.	0
i have been and uh some of the boy scouts have been up in there they have got some great hiking trails and camping areas up in there	Boy scouts don't ever go camping or hiking. 	2
"This is one of the reasons we're growing too weak to fight the Satheri.  ""What's wrong with a ceremony of worship, if you must worship your eggshell?"" Dave asked."	We shouldn't worship our eggshells, why do we even have ceremonies at all? asked Dave.	2
Still, it would be interesting to know. 109 Poirot looked at me very earnestly, and again shook his head. 	Poirot looked at me and then shook his head.	0
The Fray's reputation as a home for hostile, rude, and mean-spirited exchanges suffered a severe beating at the hands of the Reading thread, which was so civilized that participants suggested taking insulin shots afterward.	The Fray is known as a hostile, rude, and mean place.	0
Look here, you've been asking me a lot of questions.	Look here, you have been posing a lot of questions at me.	0
Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.	The Pharaonic Village in Cairo does not sell papyrus.	2
For example, the moderate scenario assumes a 50% or $1.	Moderate scenario absdorns 0%	2
However, crashing real estate prices had a domino effect on the rest of the economy, and in the early 1990s Japan slipped quickly into stagnation and then recession.	The domino effect was not something that Japan had to suffer through.	2
From here, many HIV researchers are putting their hopes on combining drug treatments with strategies that boost the immune system.	HIV researches believe HIV will be cured very soon. 	1
He appropriated for the State much of the personal fortunes of the princes, but found it harder to curtail the power of land-owners who had extensive contacts with the more conservative elements in his Congress Party.	It was difficult to curtail the power of land-owners in extensive contact with the more conservative elements in the Congress Party, because the Party was paying them off.	1
For instance, one state government CIO attributed his success to his breadth of experience across a variety of financial, retail, and IT units, which facilitates his ability to	There was not a single state where it was successful.	2
Comparing our experience on the Acid Rain Program with the NOx SIP Call and the Section 126 petitions demonstrates the benefit of having certain key issues decided by Congress rather than left to Agency rulemakings.	Congress has better judgement than Agency rulemakings.	1
i like the Moody Blues	I am very fond of the Moody Blues	0
and uh you know it's like they they consider that but it would be the same way here you know it's like if if you had to do it you know you have a big sign i'm sorry i don't get paid you know	I am paid well, even if it's here and the same.	2
Participation in the rulemaking process requires (1) the public to be aware of opportunities to participate and (2) systems that will allow agencies to receive comments in an efficient and effective manner.	The rulemaking process requires that the public be made aware of the opportunity to take part.	0
I will some day, if you ask me, she promised him, smiling. 	She swore to him that if he asked her someday, she would. 	0
" ""So your girl writes that your little farewell activity didn't fare so well, eh?"" he chortled."	Your farewell activity didn't go well.	0
that's cool kind of like Pink Floyd or something uh yeah basketball's cool but football kind of after a while	No, that's not interesting at all; I don't like basketball.	2
The central section of Tinos has little of interest, but make your way over the hills to the pretty village of Pyrgos, famed for its school of marble carving.	Not very many tourists visit the central section of Tinos.	1
Previously, at the request of the Republican Ranking Minority Member of the House Committee on Government Operations, GAO reviewed activities of President Clintonas Task Force on Health Care Reform and was provided with an extensive listing of working group participants drawn from the government and from outside organizations.	The GAO have reviewed the activities of President Clinton's Task Force.	0
Under the overmechanical assumptions of affirmative-action opponents themselves (and putting aside the racial IQ theories of Murray and some others), blacks would move up the list, and whites would move down.	The assumptions of affirmative action opponents are overly mechanical.	0
life track	The long and winding life track.	1
you know they they like what they're doing they you know they feel good about what they're doing that type of thing it's more	You can see that they hate this line of work.	2
I could've afforded a much swankier, up-town place- or at least, a slightly swankier, mid-town place- but all that space would just encourage me to clutter.	I could have had a bigger place but then I would have clutter.	0
Something broke inside her, something in her head.	She was happy	2
he was he's of course uh i guess he's trained in this uh martial arts of some sort but the plot was bland the acting was bland It was just mostly centered upon his abilities to	The plot was boring because he was a bad actor.  	1
This majestic room is used for modern-day entertaining when the queen hosts dinners and banquets.	Dinners with the queen in the Royal Dining Room are much sought after invitations.	1
For example, NIPA excludes capital transfers, like estate tax receipts, which are recorded as revenue in the unified budget, and investment grants-in-aid to state and local governments, which the unified budget records as outlays.	NIPA does not exclude capital transfers.	2
After the high emotion of de Gaulle's march down the Champs-Elys??es, the business of post-war reconstruction, though boosted by the generous aid of the Americans' Mar?­shall Plan, proved arduous, and the wartime alliance of de Gaulle's conservatives and the Communist Party soon broke down.	The Marshall Plan was not concocted until 1918.	1
The movie isn't clear on where the secret report that kicked off Bergman's interest in tobacco came from, or who in the FDA thought it was a good idea to turn him onto Wigand.	Bergman did not want to work with the government.	1
No, don't answer.	Don't say a word. 	0
i think we have too thank you very much you too bye-bye	I think we need to thank you as well.	0
Straightened out for a while, Humayun came back in 1555 with his Persian army to recapture the Punjab, Delhi, and Agra, but the next year his opium habit caused his death (see page 64).	Straightened out for a bit, Humayun came back in 1555 with his army to recapture the provinces, but was stopped by an opium addiction.	0
i think that yeah i think and i i think that's real important	I truly believe that that's really important.	0
Lewis brought to the campaign the same intensity he had trained upon redneck troopers and sheriffs.	Lewis was a strict and obsessed with details perfectionist.	1
he was he's of course uh i guess he's trained in this uh martial arts of some sort but the plot was bland the acting was bland It was just mostly centered upon his abilities to	He trained in martial arts but the plot was boring.  	0
Howard Berman of California, an influential Democrat on the House International Relations Committee.	Howard Berman is a Democrat of the House.	0
As the budgets, functions, and points of service of many government programs devolve to state and local government, private entities and nonprofit organizations, and other third parties, it may become harder for GAO to obtain the records it needs to complete audits and evaluations.	It is necessary for these audits and evaluations to be performed at least once a year.	1
Slate 's Joseph Nocera.	Nocera works for Slate.	0
I guess history repeats itself, Jane.	History certainly doesn't repeat, Jane.	2
If you have the energy to climb the 387 steps to the top of the south tower, you will be rewarded with a stunning view over the city.	There are 400 steps to the top of the south tower.	2
yeah well are you you with TI	Yeah well are you with the FBI?	2
and i use a one of those black soaker hoses that actually oozes water every where so i lace it up and down there a couple of times and i only have to water about two hours a week	I only have to water about two hours a week, except on rainy weeks.	1
'Pardon me for saying so, but I really don't think this is the time for an entree,' I said.	I didn't think it was time for a main course, but dessert sounded good. 	1
Designed by George Meikle Kemp, an unknown draftsman of humble birth, the monument took its inspiration from the design of MelroseAbbey.	George meikle Kemp was inspired by Melrose abbey. 	0
The Lake District is not the place to come if you want lots of action into the early morning hours.	The lake district is open 24/7.	2
Concurrent with downsizing, procurement regulations have been modified to allow agencies greater flexibility and choice in selecting contracting methods for acquiring facilities.	The downsizing helped immensely in providing firms with these types of freedoms, though other factors contributed as well.	1
Because marginal costs are very low, a newspaper price for preprints might be as low as 5 or 6 cents per piece.	Newspaper preprints can cost as much as $5.	2
Ca'daan felt his skin get hot and unable to come up with any suitable response, moved on.	Ca'daan was freezing!	2
Second, reducing the rate of HIV transmission is in any event not the only social goal worth  If it were, we'd outlaw sex entirely.	Reducing the transmission of HIV is just as important as reducing drug abuse.	1
GAO secures all information obtained during the course of its work.	The information obtained by the GAO is unsecure.	2
huh-uh i don't even want to go anywhere yeah that's about it	I have lots of places I want to go.	2
He married Dona Filipa Moniz (Perestrelo), the daughter of Porto Santo's first governor, and lived on the island for a period, fathering a son there.	He made a life for himself on the island, marrying Dona Filipa Moniz and siring a son.	0
'No one in Large would ever try to harm us.	We figured they were all nice people in Large, nobody that would ever lay a finger on somebody in hopes to hurt them, but maybe we're wrong after the news story came out about the violent acts that were committed there just recently.	1
Ocho Rios is Spanish for  eight rivers,  but this name is not descriptive of the area.	The area doesn't have eight rivers, only four.	1
Total volume grew 13.	There was an increase in volume of 13.	0
But for some recipients, there is a downside to the checks from Anthem Inc., issued to policyholders as part of the insurer's conversion to a publicly traded company.	There is a downside to the checks from Anthem Inc	0
Many had to leave their birthplaces, fleeing to Lesvos, Chios, and Samos, the Greek-ruled islands just offshore.	The Greek people were in danger.	1
Cultural festivals are one opportunity, but the better way is at a private wedding or feast day when the performances are set in their true context.	Festivals are a place, but performances at private weddings are more traditional and better due to the correct cultural context.	0
The Report and Order, in large part, adopts the unanimous recommendations of the Hearing Aid Compatibility Negotiated Rulemaking Committee, an advisory committee established by the Federal Communications Commission in 1995.	The Hearing Aid Compatibility Negotiated Rulemaking Committee is a product of the Federal Communications Commission.	0
Loire Valley	A valley in the locality of Loire.	0
"But you might as well see for yourself if you don't believe me. The note, in Tuppence's well-known schoolboy writing, ran as follows: ""DEAR JULIUS, ""It's always better to have things in black and white."	You won't be convinced even if you look at this, if you don't believe me.	2
"But you would not trust me."""	You have no trust when it comes to me. 	0
right well the warmth that developed between them and again it i think was a picture of relationships	There was a mutual feeling in their relationship.	0
and the same is true of the drug hangover you know if you	It's just like a drug hangover but worse.	1
The park is a graceful and elegant expanse with fine views of the mountains, much loved by Dubliners since it was first opened to the public in 1747.	The park is pretty and has a great view of the mountains.	0
Specifically, suppose unconstrained competition were allowed but the Postal Service turned out to have sufficient market power in some product areas to allow other products to be priced at or near the level of incremental cost.	The Postal Service has a lot of market power in every state except Hawaii.	1
My unborn children will never appear on the Today show.	No direct descendent of mine will ever be a guest of the Today show.	0
Local boy Gates wisely built his 45,000-square-foot castle in suburban Seattle.	Gates tore down his house because he is not from the Seattle area.	2
On your right is the entrance to the 16th-century Sandal Bedesten, with lovely brick vaults supported on massive stone pillars.	The Sandal Bedesten took forty years to completely construct.	1
Jamaican music ska and, especially, reggae has since the 1970s been exported and enjoyed around the world.	Reggae is one of the American music style.	2
OMB has approved the information collection contained on the Form ADV and has	OMB staunchly opposed the information collection contained on the Form ADV.	2
Also downtown is the Flower Market, on Wall and 8th streets; fresh-cut flowers and a variety of plants can be had for bargain prices, but the best selections are found before dawn.	Fresh-cut flowers available at the market range from cheap to expensive.	1
Here you'll find many clothing stores for all ages and a large branch of Dunnes Stores, an Irish clothes- and food-shop chain.	Dunnes Stores is a popular place for tourists to shop.	1
I never said you were a mandrake-man.	I didn't say you were a mandrake-man.	0
oh does it sure	oh, does it do that? of course	0
ENVIRONMENTAL PROTECTION AGENCY	Agency which is responsible for the protection of the environment and the maintaining of national parks.	1
well that's good that's great	Shit, that is bad, that is horrible.	2
oh wow no i just started about well five years ago i think	The first year was rough.	1
I thought working on Liddy's campaign would be better than working on Bob's.	Turns out, I was wrong and wished I had worked on Bob's campaign.	1
Our review indicates that the Food and Drug Administration complied with the applicable requirements.	The FDS has suggestions but no regulations.	2
oh no no they're not fired they there are they have one chance to then go in a program if you come back positive you have one chance to go in and go into they have a lot of uh rehabilitation both for alcohol and for drug use uh and they have uh a lot of uh they they have an agency where you can go for personal problems financial or whatever	There has been several people who had to go for rehabilitation last year.	1
He saw Stark buried under the earth, screaming for a mercy or death that would never come and crawling out of the rock decades later.	Stark ran away before he could be captured.	2
A detailed English explanation of the plot is always provided, and wireless recorded commentary units are sometimes available.	A detailed plot, written in English, is always available and an audio commentary is sometimes available that's voiced by Morgan Freeman.	1
That had been made by the Cadets (Constitutional Democrats) under Prince Lvov.	The Cadets made that under Prince Lvov and it was wildly successful.	1
The castle itself comprises an early 17th-century tower house, restored with Irish oak from the park which is held together without a single nail.	The Irish oak from the park does not need to be held together with nails, it has natural adhesive abilities.	1
Barney Frank, D-Mass., will log some of the best sound bites, while Rep.	Barney Frank won't have any good quotes.	2
The red moon made her skin glow.	Her skin was painfully glowing from the red moon.	1
The technical how-tos for these three strategies will be summarized later in this paper.	There are three strategies discussed in the paper.	0
Candidates must submit a set of fingerprints for review by the FBI.	Candidates do not have to have their fingerprints taken.	2
A lot of people are going to look at it and say, 'Well, I took the exam the way it is and that's what I had to do it,' said Mr. Curnin. 	Mr. Curnin said that people are going to talk about the exam.	0
Exhibitions are often held in the splendid entrance hall.	The exhibitions in the entrance hall are usually the most exciting.	1
and they're illegal so i don't think it would do us any good to outlaw them all together	Since they're already illegal, outlawing them would be good.	2
There are two challengers to these top dogs.	These top dogs face two challenges.	0
HE KNOWS ABOUT THE MINES.	He is aware that the mines exist. 	0
He says men are here.	He said that the men were not here. 	2
At 79 m (260 ft) wide and 36 m (118 ft) high, it was built by the Ptolemies during a total reconstruction of the temple in the years 237 105 b.c.	The Ptolomies built many temples that were as big.  	1
yeah that's a nice place	It's awful and has no redeeming qualities. 	2
for the direct sunlight and stuff right but uh but i i haven't really found it too bad we've lived in our house about uh oh thirteen years i suppose and and really really only painted once and you know it was new when we bought it and we painted one time since then but you know it's probably going to be time to paint again in a couple of years	I've had to paint every year.	2
Ickes apparently made calls to donors from his government office, but there is no evidence so far that anyone else solicited funds in a federal building.	Ickes may have solicited donors and prostitutes from his government office.	1
Drinks are available and expensive.	Drinks are each $14.	1
i'm on i'm in the Plano school system and living in Richardson and there is a real dichotomy in terms of educational and economic background of the kids that are going to be attending this school	There is a huge amount of poor students and very few wealthy.	1
The Congress also told LSC that it could not continue to fund its grantees presumptively and that it must begin to distribute its funds on a competitive basis.	LSC was told by Congress no longer could grantees be funded presumptively and funds have to be distributed on a basis that is competitive. 	0
Trial of Galileo	Galileo's Trial was cancelled.	2
According to this plan, areas that were predominantly Arab the Gaza Strip, the central part of the country, the northwest corner, and the West Bank were to remain under Arab control as Palestine, while the southern Negev Des?Υrt and the northern coastal strip would form the new State of Israel.	According to this plan, The Gaza strip and other parts of the country would become Palestine and the Negev Desert would form Israel.	0
She did not reply.	She was silent.	0
yeah and how about how about like on the weekends do you do sports or do you go out	No one plays sports on the weekend.	2
You know.	You do not know.	2
The cathedral in particular is impressive after dark.	The cathedral is unimpressive at night.	2
But there's SOMETHING.	Surely there's something.	0
The author began with a set of hunches or hypotheses about what can go wrong in agency management, and what would be evidence supporting-or contradicting-these hypotheses.	The author began with a set of theories about the ways in which agency management can go right.	2
Decline and Decadence	Rising and trashy.	2
It has a full program of events, including lectures.	There aren't any lectures in the list of events.	2
The relatively small crowds mean that fans sit close to the action.	Fans sit far from the action.	2
Improvements in architecture, regaining intimate space and scale and all the rest, won't disguise the ugliness of advertising the local bank, Chevy dealer, and chain retailer as a backdrop for baseball.	Local advertisements are beautiful. 	2
"Her state is probably to be attributed to the mental shock consequent on recovering her memory."""	She will need some time to get over the shock.	1
The traditional opening time for many hotels is the Orthodox Easter, although some do not open until the end of April.	The hotels don't open in Halloween.	1
Case Studies in Science Education.	Education about science.	0
uh-huh so do you have to get a shade tolerant grass is that what you're	All grass seed needs full sun to grow.	2
Regulators may not be totally supportive of a more comprehensive business model because they are concerned that the information would be based on a lot of judgment and, therefore, lack of precision, which could make enforcement of reporting standards difficult.	Regulators will be fully supportive of this business model.	2
For the upcoming world championships in microhockey, a super-vaccine was to be developed, which would be administered to all participants and audience members.	There was no need for a super-vaccine and, so, one was not being developed.	2
Said we was a-staying at the inn.	He was staying at the inn in town.	1
The central section of Tinos has little of interest, but make your way over the hills to the pretty village of Pyrgos, famed for its school of marble carving.	The central section of Tinos is the main tourist attraction.	2
but i think let's see the teams that were there last year were see somebody from California i don't even know who won the pennant last year	I am in the dark as to who won the pennant last year	0
Tracking down the tiger is a subtle affair, and requires a degree of dedication, calm, and stealth.	It is best to be loud and make sudden movements to scare the tiger into the open.	2
Acquaintances of mine have become Orthodox because of the codes.	My acquaintances shied away from becoming Orthodox because of the codes.	2
yeah i think they get bogged down in a lot of small issues that people you know special interest groups can blow up	They have no issues, big or small, to address.	2
He thought the biggest barrier was how to change the culture in the ED so that staff would ask screening questions.	The biggest barrier was thought to be how to change the culture, however this wasn't the only barrier which was involved.	1
Princes Street is to Scots what Oxford Street is to the English the premier shopping street of the land.	Princes Street is the premier shopping street in Scotland.	0
Jon replaced Susan's cloak with a white robe and a head scarf, also quite dirty.	Jon replaced the cloak with a robe. 	0
How effectively DOD manages these funds will determine whether it receives a good return on its investment.	The DOD could receive a good return on these funds if it manages them well.	0
 Dinghies are available for hire from the marinas at Tel Aviv, Jaffa, Akko, Netanya, and Nahariya.	Tel Aviv, Jaffa, Akko, Akko, Netanya, and Nahariya offer no dinghies.	2
General Accounting Office, A Model of Strategic Human Capital Management, GAO-02-373SP (Washington, D.C.: Mar.	The GAO is not a model of strategic human capital management.	2
In this moment of American triumphalism, it's hard to resist the temptation to rewrite recent history as the narrative of America's self-reliant, inevitable rise, and to see the future as the story of America's continued ascent into the higher reaches of the New Economy.	This is a moment of American triumphalism.	0
Always check with drivers and hotel employees to determine if road conditions are good before you depart.	If the roads are not in good condition, you will be provided an extra night's stay for free.	1
Say, man, don't you know you've been given up for dead? 	He died of starvation after being left in the desert by his group of friends.	1
The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images.	Vendors are selling sweets, curds, garland, and coconut.	0
'Wait here,' I was ordered.	He told me to wait.	0
Critics praise Goodman's finely honed descriptive abilities and instinctive grasp of familial dynamics, the ways in which dreams and emotional habits are handed down ...	Critics say Goodman has an instinctive grasp of familial dynamics. 	0
Huntington--like Buchanan--claims not to be a cultural  He is defending the integrity of all cultures, theirs and ours.	Huntington and Buchanan both defend others cultures as well as their own.	0
it sure will well good to talk to	That's true, and it was nice chatting.	0
That would be a tenfold increase in the Internet's share.	That would be a tenfold decrease in the Internet's share.	2
Each one planting itself in the sides of Stark's neck.	Stark had two swords stuck in his neck.	1
His voice was even and calm, not a hint of rage.	He was very mellow.	0
Bush the elder came of age when New England Republicans led the party, and patrician manners were boons to a Republican.	New England Republicans had all the power four years ago.	1
No, I exclaimed, astonished. 	Okay, I agreed breezily. 	2
